product_id,product_name,inventory_count,description,price,serve_size,calories,protein,sodium,fiber,sugar,Category,Subcategory
1,Premium Angus Beef Steak,10,"Indulge in the rich, succulent flavors of our Premium Angus Beef Steak. Sourced from the finest Angus cattle, known for their superior marbling, each steak is hand-selected and aged to perfection. This results in a remarkably tender and juicy steak that promises a gourmet dining experience with every bite. Perfect for grilling or broiling, our Angus Beef Steak will transform your home cooking into a five-star culinary delight.ğŸ”¥ğŸ½ï¸",$12.99,4 oz (113g),160,22,60,0,0,Meat,Beef
2,Lean Ground Beef,50,"Our Lean Ground Beef is a versatile kitchen staple, ground from select cuts of beef to ensure high quality and rich flavor while maintaining a leaner profile for healthier meal options. With minimal fat and no added fillers, it's the perfect choice for family favorites from hearty lasagna to savory tacos. Its exceptional quality guarantees delicious taste and texture that will elevate your everyday recipes. ğŸŒ®ğŸ",$8.49,4 oz (113g),170,23,65,0,0,Meat,Beef
3,Beef Ribeye Steak,5,"Experience the exceptional taste and tenderness of our Beef Ribeye Steak. Well-marbled, flavorful, and expertly cut, this steak is a carnivore's dream. The ribeye offers a delectable balance of taste and texture, making it ideal for both simple seasoning and more elaborate marinades. Whether pan-seared to a golden crust or grilled to smoky perfection, our ribeye steak is a showstopper at any meal. ğŸ”¥ğŸ½ï¸",$14.99,6 oz (170g),310,27,70,0,0,Meat,Beef
4,Tender Beef Stew Meat,,"Introducing our Tender Beef Stew Meat - the secret ingredient for creating hearty, soul-warming stews and casseroles that will have your taste buds dancing with joy! Hand-cut from lean, flavorful cuts of beef, each piece is trimmed to the ideal size for even cooking. This ensures that your favorite comfort food dishes are consistently tender and infused with robust beef flavor. Just imagine the aroma filling your kitchen as you simmer a pot of stew with our premium stew meat ğŸ²ğŸ–. It's the perfect choice for those cozy family dinners or when you want to impress your guests with a comforting, homemade meal.",$9.99,4 oz (113g),200,24,50,0,0,Meat,Beef
5,Beef Sirloin Roast,,"Elevate your special occasions and family gatherings with our exquisite Beef Sirloin Roast. This premium cut combines the tenderness you crave with a lean, robust beef flavor that never disappoints ğŸ½ï¸ğŸ‰. Expertly trimmed and ready to roast, it's the centerpiece that will steal the spotlight at your dinner table. Slow roast it to perfection, and you'll unlock its full, succulent flavor, creating a memorable meal that's as nutritious as it is satisfying. Whether it's a holiday feast or a Sunday dinner tradition, our Beef Sirloin Roast is sure to leave a lasting impression on your loved ones.",$10.79,3 oz (85g),150,19,55,0,0,Meat,Beef
6,Organic Grass-Fed Ground beef,,"Discover the wholesome goodness of our Organic Grass-Fed Ground Beef! Sourced from cattle raised in harmony with nature, our ground beef is not only delicious but also an eco-friendly choice ğŸŒ¿ğŸŒ. It's ground from select cuts of beef to ensure exceptional quality and rich flavor, all while maintaining a leaner profile for those looking for healthier meal options. With minimal fat and no added fillers, it's the perfect ingredient to create a wide range of dishes, from juicy burgers ğŸ” to savory meatballs ğŸ. When you choose our organic grass-fed ground beef, you're not only treating your taste buds but also supporting sustainable farming practices. Enjoy the best of both worlds â€“ great taste and a healthier planet! ğŸŒ±ğŸ¥©",$11.99,4 oz (113g),200,26,70,0,0,Meat,Beef
7,Beef Tenderloin Medallions,,"Experience culinary luxury with our Beef Tenderloin Medallions. These petite, succulent cuts of beef are like jewels on your plate ğŸ½ï¸ğŸ’. Hand-selected for their exceptional tenderness and flavor, these medallions are perfect for those special occasions when you want to impress your guests or simply treat yourself to a gourmet meal. Whether you pan-sear them to a perfect medium-rare or add your favorite seasonings and sauces, these Beef Tenderloin Medallions promise a dining experience that's nothing short of exquisite.",$16.49,4 oz (113g),220,25,45,0,0,Meat,Beef
8,Marinated Beef Kabobs,,"Take your taste buds on a flavorful journey with our Marinated Beef Kabobs! These skewers are a burst of savory delight, featuring tender beef pieces marinated to perfection. They are ready for grilling, making outdoor gatherings and barbecues a breeze ğŸŒğŸ”¥. The marination process infuses the beef with mouthwatering flavors, ensuring every bite is a taste explosion. Whether you're hosting a summer cookout or simply craving a quick and delicious meal, our Marinated Beef Kabobs are the perfect choice. Just skewer, grill, and enjoy!",$9.99,2 kabobs (200g),280,20,300,2,1,Meat,Beef
9,Beef Brisket,,"Indulge in the rich, smoky goodness of our Beef Brisket - a barbecue classic that's sure to satisfy your carnivorous cravings! Our brisket is carefully prepared, seasoned, and smoked to perfection, resulting in melt-in-your-mouth tenderness and irresistible flavor. It's the ideal centerpiece for your next backyard barbecue or a comforting meal on a cozy evening. Whether you prefer it sliced thin for sandwiches or served with classic barbecue sides, our Beef Brisket promises a mouthwatering experience that'll have you coming back for more. Get ready to savor the taste of true barbecue perfection! ğŸ–ğŸ”¥",$7.29,4 oz (113g),280,25,80,0,0,Meat,Beef
10,Spicy Beef Jerky Strips,,"Satisfy your craving for bold, fiery flavors with our Spicy Beef Jerky Strips! These zesty strips of beef are a spicy snack lover's dream come true ğŸŒ¶ï¸ğŸ˜‹. Made from high-quality beef, they are expertly seasoned with a mouthwatering blend of spices to create a tantalizing taste experience. Perfect for on-the-go snacking or as a protein-packed treat during your outdoor adventures, our Spicy Beef Jerky Strips will add some heat to your day while delivering that satisfying beefy goodness.",$5.99,1 oz (28g),80,12,290,0,3,Meat,Beef
11,Wild-Caught Alaskan Salmon Fillet,,"Dive into the pristine waters of Alaska and discover the exceptional flavor of our Wild-Caught Alaskan Salmon Fillet! Harvested from the pristine and icy waters of Alaska, these fillets are a testament to the natural beauty and quality of the Alaskan wilderness ğŸŒŠâ„ï¸. Packed with Omega-3 fatty acids and a delicate, buttery taste, our salmon fillets are a seafood lover's dream. Whether you prefer grilling, baking, or pan-searing, these fillets are a versatile choice for creating gourmet meals in the comfort of your own kitchen. Experience the pure taste of the wild with every bite.",$14.99,6 oz (170g),280,36,50,0,0,Meat,Seafood
12,Fresh Atlantic Lobster Tail,,"Elevate your seafood feast with our Fresh Atlantic Lobster Tail! These succulent lobster tails are a true culinary delight, sourced from the pristine waters of the Atlantic Ocean ğŸŒŠğŸ¦. Known for their sweet, tender meat and exquisite flavor, our lobster tails are the perfect choice for celebrating special occasions or creating a memorable seafood dinner at home. Whether you prefer them steamed, broiled, or prepared in your favorite lobster recipes, our Fresh Atlantic Lobster Tail promises a dining experience that's nothing short of luxurious. Treat yourself and your loved ones to the taste of the sea with these premium lobster tails. ğŸ½ï¸ğŸ¦",$39.99,1 Tail (6-7oz),120,28,620,0,0,Meat,Seafood
13,Yellowfin Tuna Steak,,"Dive into the deep blue with our Yellowfin Tuna Steak! Sourced from the open ocean, these tuna steaks are prized for their firm texture and rich, meaty flavor. They are perfect for those seeking a taste of the sea with a touch of sophistication. Whether you prefer to grill, sear, or even enjoy them raw as sashimi, our Yellowfin Tuna Steaks promise a gourmet dining experience that's both delicious and nutritious. Elevate your seafood game and savor the exquisite taste of the ocean with each bite.",$10.49,4 oz (113g),160,38,35,0,0,Meat,Seafood
14,Fresh Dungeness Crab,,"Delight in the sweet and succulent taste of our Fresh Dungeness Crab, harvested from the pristine waters of the Pacific Northwest ğŸŒŠğŸ¦€. Known for their tender, delicate meat, Dungeness crabs are a seafood lover's treasure. Crack open these delectable crustaceans to reveal their flavorful rewards. Whether you're enjoying them as a crab boil, crab cakes, or simply dipped in butter, our Fresh Dungeness Crab promises an unforgettable dining experience that captures the essence of the sea.",$12.99,4 oz (113g),90,20,290,0,0,Meat,Seafood
15,Smoked Salmon Slices,,"Savor the enticing smokiness of our Smoked Salmon Slices! These thinly sliced morsels of premium salmon are carefully smoked to perfection, infusing them with a rich and savory flavor profile ğŸŒ¬ï¸ğŸŸ. Perfect for creating elegant appetizers, sushi rolls, or adding a touch of luxury to your brunch spread, our Smoked Salmon Slices are a culinary indulgence that's both convenient and delicious. Elevate your culinary creations with these delectable slices of smoked salmon.",$9.99,2 oz (56g),80,11,300,0,0,Meat,Seafood
16,Chilean Sea Bass Fillet,,"Embark on a gastronomic journey with our Chilean Sea Bass Fillet! Sourced from the pristine waters of Chile, these fillets are renowned for their luxurious, buttery texture and exquisite taste ğŸ½ï¸ğŸŒŠ. Expertly prepared and ready for your culinary adventures, our Chilean Sea Bass Fillets are perfect for grilling, baking, or pan-searing to golden perfection. Whether you're hosting a dinner party or treating yourself to a gourmet meal, these fillets promise a dining experience that's both indulgent and unforgettable.",$19.99,5 oz (142g),250,30,55,0,0,Meat,Seafood
17,Hickory Smoked Bacon,,"Awaken your taste buds with the irresistible aroma and flavor of our Hickory Smoked Bacon! Crafted with care and slow-smoked over hickory wood chips, our bacon boasts a perfect balance of smokiness and savory goodness ğŸŒ²ğŸ¥“. Versatile and beloved, it's a breakfast staple that can elevate any dish. Whether you're crafting the ultimate bacon-wrapped appetizer, enhancing your morning sandwich, or adding a smoky twist to your favorite recipes, our Hickory Smoked Bacon is a kitchen essential that promises culinary delight with every crispy bite.",$5.99,2 slices (14g),80,3,250,0,0,Meat,Pork
18,Pulled Pork BBQ,,"Satisfy your cravings for smoky, savory goodness with our Pulled Pork BBQ! Slow-cooked to perfection and expertly seasoned, our pulled pork is a taste sensation that will transport you to the heart of barbecue country ğŸï¸ğŸ–. Whether you're enjoying it on a sandwich, as a topping for baked potatoes, or as a standalone feast, our Pulled Pork BBQ promises tender, flavorful bites that will leave you wanting more. Get ready to savor the authentic taste of barbecue bliss.",$8.99,3 oz (85g),180,20,320,0,15,Meat,Pork
19,Smoked Ham Steak,,"Experience the delightful smokiness and rich flavor of our Smoked Ham Steak! Carefully prepared and smoked to perfection, these ham steaks are a versatile addition to your kitchen ğŸŒ²ğŸ½ï¸. Whether you're frying them up for a hearty breakfast, grilling them for a savory dinner, or using them as a key ingredient in your favorite recipes, our Smoked Ham Steaks promise a savory, mouthwatering experience that's sure to please the whole family.",$5.99,4 oz (113g),160,17,780,0,1,Meat,Pork
20,White Bread Loaf ,,"Savor the simple, comforting taste of our White Bread Loaf! Freshly baked with care, this classic white bread is a versatile staple that's perfect for sandwiches, toast, and so much more ğŸğŸ¥ª. Its soft texture and neutral flavor make it a beloved choice for all your favorite sandwich fillings and spreads. Whether you're making a classic PB&J, a hearty club sandwich, or simply enjoying a slice with butter, our White Bread Loaf is a timeless favorite that brings a touch of nostalgia to your meals.",$2.49,1 slice,70,2,120,1,1,Bread and Bakery,Breads
21,Whole Wheat Bread,,"Enjoy the wholesome goodness of our Whole Wheat Bread! Baked with the goodness of whole wheat flour, this bread offers a hearty, nutty flavor and a boost of fiber and nutrients ğŸŒ¾ğŸ. Whether you're crafting a nutritious sandwich, creating delicious French toast, or using it as a base for your favorite open-faced creations, our Whole Wheat Bread is a healthy and tasty choice that satisfies your appetite while keeping you fueled for the day ahead.",$2.49,2 slice,80,2,120,1,1,Bread and Bakery,Breads
22,Multigrain Bread,,"Elevate your bread game with our Multigrain Bread! Packed with a variety of wholesome grains and seeds, this bread offers a delightful texture and a nutty, earthy flavor profile ğŸŒ¾ğŸ. It's the perfect choice for those seeking a hearty and nutritious bread option. Use it to create gourmet sandwiches, avocado toast, or simply enjoy a slice with your favorite spreads. Our Multigrain Bread promises a satisfying eating experience that's as good for your taste buds as it is for your well-being.",$2.49,3 slice,90,3,115,2,1,Bread and Bakery,Breads
23,Sourdough Bread,,"Experience the timeless allure of our Sourdough Bread! Crafted with care and fermented to perfection, this bread boasts a tangy, slightly chewy crust and a soft, airy interior ğŸğŸ¥–. With its distinctive flavor and rustic charm, it's the ideal choice for creating artisanal sandwiches, hearty soups, or simply enjoying with a drizzle of olive oil. Our Sourdough Bread promises a slice of bread-baking tradition that's both comforting and delectable.",$3.99,4 slice,60,2,130,1,2,Bread and Bakery,Breads
24,Baguette,,"Embrace the elegance of French cuisine with our Baguette! This iconic bread is renowned for its crisp, golden crust and tender, airy crumb ğŸ½ï¸ğŸ¥–. Whether you're crafting a classic French sandwich, serving it alongside a cheese platter, or using it as the base for bruschetta, our Baguette offers a taste of France's culinary heritage in every bite. Elevate your meals with this timeless, versatile favorite.",$2.99,1 slice,120,4,150,1,0,Bread and Bakery,Breads
25,Hamburger Buns,,"Build the ultimate burger experience with our Hamburger Buns! These soft, golden buns are the perfect vessel for creating mouthwatering burgers that satisfy your cravings ğŸ”ğŸ. Whether you're grilling juicy beef patties, crafting a veggie burger masterpiece, or indulging in a classic cheeseburger, our Hamburger Buns promise a soft and sturdy base that holds up to your favorite toppings and condiments. Get ready to sink your teeth into burger perfection.",$2.49,1 bun,80,5,180,2,0,Bread and Bakery,Breads
26,Hot Dog Buns,,"Elevate your hot dog game with our Hot Dog Buns! These fluffy, slightly sweet buns are designed to cradle your hot dogs or sausages perfectly ğŸŒ­ğŸ. Whether you're grilling up classic franks, gourmet sausages, or veggie dogs, our Hot Dog Buns provide the ideal pairing for a tasty handheld meal. They're a must-have for your next barbecue, ballpark outing, or family cookout. Enjoy the convenience and deliciousness of these classic buns.",$2.49,1 bun,70,2,160,3,0,Bread and Bakery,Breads
27,Dinner Rolls,,"Complete your dinner table with the warmth and charm of our Dinner Rolls! These petite, soft rolls are a delightful addition to any meal, offering a comforting, homemade taste ğŸ½ï¸ğŸ¥–. Whether you're serving them with a hearty stew, using them to make mini sandwiches, or simply enjoying them with butter, our Dinner Rolls promise a touch of nostalgia and a perfect accompaniment to your favorite dishes. Share the joy of breaking bread with loved ones around your dinner table.",$3.99,1 roll,150,3,260,1,3,Bread and Bakery,Breads
28,Chocolate Chip Cookies,,"Indulge in the classic comfort of our Chocolate Chip Cookies! These golden-brown delights are baked to perfection, with every bite bursting with sweet chocolate chips ğŸªğŸ«. Whether you're enjoying them with a glass of milk, pairing them with your favorite ice cream, or simply savoring them as a sweet snack, our Chocolate Chip Cookies promise a nostalgic and irresistible treat that's perfect for all ages.",$3.99,1 cookie,120,2,80,1,10,Bread and Bakery,Cookies
29,Oatmeal Cookies,,"Experience the wholesome goodness of our Oatmeal Cookies! Made with hearty oats and a hint of cinnamon, these cookies offer a satisfying balance of chewiness and warmth ğŸªğŸŒ¾. Whether you're enjoying them with a cup of tea, adding them to your lunchbox, or relishing them as a guilt-free indulgence, our Oatmeal Cookies promise a comforting treat that feels like a hug for your taste buds.",$3.49,1 cookie,140,3,90,1,9,Bread and Bakery,Cookies
30,Sugar Cookies  ,,"Delight in the simple sweetness of our Sugar Cookies! These buttery, delicate cookies are like edible canvases ready for your creativity ğŸªğŸ¬. Whether you're decorating them with colorful icing, enjoying them as-is, or using them as the base for delightful cookie sandwiches, our Sugar Cookies are a blank slate for your culinary imagination. Share your edible art with friends and family or enjoy them as a blank canvas of sweetness.",$2.99,1 cookie,100,1,60,0,12,Bread and Bakery,Cookies
31,Macarons,,"Treat yourself to the elegant charm of our Macarons! These delicate, almond meringue confections come in a rainbow of colors and flavors, offering a delightful experience for your senses ğŸ¬ğŸŒˆ. With their crisp outer shells and soft, flavorful fillings, our Macarons are a sophisticated choice for dessert or a delightful gift for someone special. Elevate your tea time or dessert spread with these exquisite, bite-sized treats.",$1.99,1 macaron,70,1,10,1,8,Bread and Bakery,Cookies
32,Biscotti,,"Enhance your coffee or tea ritual with our Biscotti! These twice-baked, Italian-style cookies are designed to be dunked and savored with your favorite hot beverage â˜•ğŸª. With their satisfying crunch and delightful flavors like almond, chocolate chip, or anise, our Biscotti are a perfect companion for those moments of relaxation and indulgence. Enjoy a moment of Italian-inspired bliss with each dunk and bite.",$4.29,1 biscotti,90,2,45,0,6,Bread and Bakery,Cookies
33,Croissants,,"Wake up to the heavenly aroma of our Croissants! These flaky, buttery pastries are a breakfast classic that pairs perfectly with a steaming cup of coffee or a frothy latte â˜•ğŸ¥. Baked to golden perfection, our Croissants offer a crispy exterior and a soft, tender interior that melts in your mouth. Whether you're enjoying them plain or using them as a base for breakfast sandwiches, our Croissants promise a touch of French sophistication to start your day.",$2.99,1 croissant,230,4,250,1,4,Bread and Bakery,Pastries
34,Danish Pastries,,"Experience the decadent delight of our Danish Pastries! These elegant pastries are a work of art, featuring a delicate, flaky crust and luscious fillings like sweet cream cheese and fruity jams ğŸ¥ğŸ“. Perfect for brunch, dessert, or as a sweet indulgence any time of day, our Danish Pastries promise a balance of textures and flavors that will satisfy your craving for something luxurious and sweet.",$3.49,1 pastry,280,5,220,1,16,Bread and Bakery,Pastries
35,Puff Pastries,,"Elevate your appetizers and desserts with our Puff Pastries! These light and airy delights are a versatile canvas for your culinary creativity ğŸ¥ğŸ§€. Whether you're crafting savory hors d'oeuvres filled with cheese and herbs or indulging in sweet treats with creamy fillings and fruit, our Puff Pastries promise a flaky, golden goodness that's perfect for any occasion. Impress your guests or enjoy a gourmet snack with these puff pastry creations.",$3.99,1 pastry,210,3,170,1,8,Bread and Bakery,Pastries
36,Turnovers,,"Treat yourself to the delightful surprise of our Turnovers! These hand-held pastries are filled with delectable fruit fillings, such as apple or cherry, and wrapped in flaky pastry dough ğŸ¥ğŸ. Whether you're enjoying them warm from the oven or as a convenient on-the-go snack, our Turnovers promise a sweet and satisfying experience that's reminiscent of homemade goodness. Get ready for a burst of flavor in every bite.",$2.49,1 turnover,180,2,150,1,12,Bread and Bakery,Pastries
37,"Chocolate Cake 18""",,"Indulge your sweet tooth with our rich and decadent Chocolate Cake! Moist, velvety layers of chocolate goodness are perfectly balanced with creamy chocolate frosting ğŸ°ğŸ«. Whether you're celebrating a special occasion or simply craving a sweet treat, our Chocolate Cake promises a slice of pure chocolate heaven. Share it with loved ones or savor it all to yourself - it's the ultimate dessert for chocolate enthusiasts.",$19.99,1 slice,350,4,180,2,32,Bread and Bakery,Cakes
38,Carrot Cake,,"Experience the delightful combination of sweetness and warmth with our Carrot Cake! Moist layers of spiced carrot cake are generously frosted with creamy, tangy cream cheese icing ğŸ°ğŸ¥•. Packed with flavor and texture, our Carrot Cake offers a comforting taste of homemade goodness that's perfect for any gathering or as a special treat for yourself. Enjoy the subtle sweetness and the hint of cinnamon in every bite.",$22.99,1 slice,300,3,200,2,26,Bread and Bakery,Cakes
39,Gala Apple,,"Crisp and sweet, our Gala Apples are a local favorite, proudly grown in the sunny orchards of California. Their vibrant red and yellow hues make them a standout at our farmer's market, and their delicious, juicy flavor is perfect for fresh snacking or adding a sweet crunch to your salads and pies.",$1.49,1 fruit,95,0.5,2,4,19,Fruit,Fresh Fruit
40,Apple,,"Our California-grown Apples are a staple of our farmer's market, offering a variety of flavors and textures to suit every preference. From the tart Granny Smith to the sweet Fuji, these apples are nurtured by our local farmers, ensuring the freshest and finest quality.",$1.99,1 fruit,95,0.5,2,4,19,Fruit,Fresh Fruit
41,Banana,," Though not grown locally in California, our ripe and creamy Bananas are carefully selected to bring a tropical touch to our farmer's market. They're the perfect on-the-go snack or addition to your morning smoothie, adding a burst of natural energy and sweetness.",$0.59,1 fruit,105,1.3,1,3,14,Fruit,Fresh Fruit
42,Orange,,"California is renowned for its citrus, and our Oranges are no exception. Sourced from nearby orchards, these oranges are a juicy, sun-kissed delight at our farmer's market. Peel one open to experience the zesty, refreshing taste that only locally grown oranges can provide.",$1.29,1 fruit,62,1.2,0,3,12,Fruit,Fresh Fruit
43,Strawberries,,"Plump and juicy, our California Strawberries are a true gem at our farmer's market. Grown with care in the state's fertile soil, these strawberries are bursting with sweet, sun-ripened flavor. Enjoy them fresh, in desserts, or as a delightful addition to your salads.",$3.99,1 cup,49,1,1,3,7,Fruit,Fresh Fruit
44,Grapes,,"California vineyards are world-famous, and our farmer's market proudly features locally grown Grapes. These plump, sweet clusters are perfect for snacking, sharing, or transforming into fine wines from the heart of California's wine country.",$2.49,1 cup,104,1.1,3,1,23,Fruit,Fresh Fruit
45,Pineapple,,"While not native to California, our Pineapples are sourced from top-quality suppliers to offer a taste of the tropics at our farmer's market. Sweet and tangy, they're a refreshing treat that adds a burst of flavor to your dishes.",$3.99,1 cup,82,1,2,2,16,Fruit,Fresh Fruit
46,Watermelon,,"California's warm sun and fertile soil produce some of the juiciest Watermelons you'll find. At our farmer's market, you can savor the sweet, hydrating goodness of locally grown watermelons, perfect for picnics and summer gatherings.",$1.99,1 cup,46,0.9,2,0.6,9,Fruit,Fresh Fruit
47,Kiwi,,"California's temperate climate is ideal for growing the finest Kiwi fruit. Our farmer's market proudly presents these fuzzy-skinned, emerald-green treasures, offering a tangy-sweet taste and a burst of vitamins to your day.",$0.99,1 cup,42,0.8,2,2,7,Fruit,Fresh Fruit
48,Mango,,"While not native to California, our Mangoes are carefully sourced to ensure the ripest and most flavorful selection at our farmer's market. Their tropical sweetness and succulent flesh are perfect for enjoying as a snack or adding a taste of the exotic to your dishes.",$2.49,1 fruit,99,1.4,2,3,23,Fruit,Fresh Fruit
49,Blueberries,,"Grown in California's fertile regions, our Blueberries are a small but mighty delight at our farmer's market. Bursting with antioxidants and flavor, these plump blue gems are perfect for baking, snacking, or adding to your breakfast yogurt.",$3.99,1 cup,84,1.1,1,3.6,15,Fruit,Fresh Fruit